id,text,edit_history_tweet_ids
1872946775394603419,"Globe Soccer Awards 🏆 

Best Player and Best Forward: Vinicius Jr 🇧🇷

#GlobeSoccer #RealMadrid #GlobeSoccerAwards #Football https://t.co/jvpMwKLqF7",1872946775394603419
1872945596765520069,"🗣️ DANI CARVAJAL RULES OUT EUROPEAN MOVE

Dani Carvajal says he won’t play in Europe if he ever leaves Real Madrid, citing loyalty to the club. 

Joselu jokingly tells him he’s saving the RB spot for him elsewhere.

#DaniCarvajal #RealMadrid #FootballNews #Loyalty https://t.co/rgtY023K01",1872945596765520069
1872944609464328687,"According to Marca, Trent Alexander-Arnold is keen on joining Real Madrid and has already informed Liverpool about his intentions. 👀⏳⚪️

#TrentAlexanderArnold #Liverpool #RealMadrid #Transfers https://t.co/pVjveQGxXQ",1872944609464328687
1872944329091899693,"👀Trent Alexander-Arnold has Made Bold Decision Over his #Liverpool Future Amid #RealMadrid Interest - Report

His current contract is set to expire in six months...

#LFC #LiverpoolFC 

https://t.co/HwSihsTxtp",1872944329091899693
1872944212821348370,"Real Madrid DOMINATING Globe Soccer Awards.

Best Player: Vinicius Jr 
Best Forward: Vinicius Jr  
Best Midfielder: Jude Bellingham
Maradona award: 
Best Club: Real Madrid  
Best President: Florentino Perez 
Best Coach: Carlo Ancelott
Career Award: Thibaut Courtois   #RealMadrid https://t.co/pqC8CCQtFb",1872944212821348370
1872944208417640459,"All Free Offer Available More info is here:
https://t.co/KeR5Y5QjxP
#USDT #Blum #Realmadrid #Dibu  
 #granHermano #miguegranados #vegeta #Olamide #SqyusGane #USA https://t.co/NN0K51jyRM",1872944208417640459
1872943922303078833,"For me it's doesn't matter if trent wanna join real madrid, but please at least he leave not for free damn 😮‍💨

#Liverpool #LFC #YNWA #RealMadrid",1872943922303078833
1872942255868428703,"Will it happen in future?
thoughts?
#RealMadrid #valverde #football #footballnews #footballupdate #soccer https://t.co/SbYcnMGLJ0",1872942255868428703
1872942025097789736,"Vinicius Jr: “Cristiano Ronaldo’s words about the Ballon d’Or? If Cristiano said I’m the best, then I am!”.
#football #RealMadrid #fypシ #fypage #fypシ゚viral #foryou #foryoupage #explore #explorerpage #Trending #trend #viral #viralvideo #friends #friend https://t.co/NPQSnwcXZi",1872942025097789736
1872940578268438718,"THE TRENT ALEXANDER ARNOLD SAGA GOES ON 🚨: @marca front cover on the 28th December has been a fools day, you can check the last 30 years of newspapers on the 28th December. This is FAKE NEWS.
#liverpool #realmadrid #trentalexanderarnold",1872940578268438718
1872940553957945703,"A more likely alternative has been identified.

https://t.co/hlTpyCHu7u

#RealMadrid",1872940553957945703
1872938038738993396,"#THFC's Micky van de Ven is considered a dream target by #RealMadrid, although his incorporation would be too expensive, say Relevo. #COYS https://t.co/kSAM13VyOk",1872938038738993396
